base,task,family,n,rho,p,partial_rho_date,fdr_q
egemaps_loudness_sma3_percentile80.0,prosody,other,45,0.07427423490999528,0.627749648456837,0.003892494722889389,0.8962347925634568
egemaps_slopeUV500-1500_sma3nz_amean,vowel,other,47,0.07045553384032567,0.6379279691885203,-0.033795129595317004,0.8962347925634568
egemaps_F3frequency_sma3nz_stddevNorm,prosody,other,45,0.07163805975791028,0.6400411757290634,0.1000555226572639,0.8962347925634568
egemaps_F1frequency_sma3nz_stddevNorm,prosody,other,45,0.07130853786389965,0.6415844269614566,0.05386336897604614,0.8962347925634568
egemaps_slopeV0-500_sma3nz_stddevNorm,vowel,other,47,0.0690014219213216,0.6448977783360885,0.24671871063892767,0.8962347925634568
egemaps_jitterLocal_sma3nz_amean,prosody,surface_damping,45,0.06919959774223164,0.6514964018274738,0.18271489752317224,0.8962347925634568
egemaps_loudness_sma3_amean,prosody,other,45,0.0691336933634295,0.6518071218643322,-0.006377380573836206,0.8962347925634568
egemaps_slopeUV500-1500_sma3nz_amean,prosody,other,45,0.06669523134775086,0.6633443845593586,0.07304302641648605,0.9050279975383497
egemaps_mfcc1V_sma3nz_stddevNorm,prosody,other,45,0.0623455423468106,0.6841153327757509,0.022814455085705676,0.92503095294111
egemaps_logRelF0-H1-H2_sma3nz_amean,vowel,surface_damping,47,-0.060036442543446616,0.6885173570186671,0.09502745760690819,0.92503095294111
egemaps_F3amplitudeLogRelF0_sma3nz_amean,vowel,other,47,-0.05760722232492565,0.7005187993672921,-0.12461215613943778,0.9286341644747996
egemaps_F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,prosody,other,45,0.05746861831545333,0.7076805315450687,0.10419190400168934,0.9286341644747996
egemaps_slopeV0-500_sma3nz_stddevNorm,prosody,other,45,-0.05727090517904694,0.7086417768888693,0.007161761880530108,0.9286341644747996
egemaps_F0semitoneFrom27.5Hz_sma3nz_stddevNorm,vowel,other,47,-0.05523584068303614,0.712304614796011,0.09930212616633562,0.9286341644747996
egemaps_mfcc2V_sma3nz_stddevNorm,vowel,other,47,0.053500683384092605,0.7209708284720961,-0.017281011796556268,0.9330210721403598
egemaps_alphaRatioUV_sma3nz_amean,prosody,other,45,0.05219626801128329,0.733463171901696,-0.021947856780560805,0.9422592573335655
egemaps_F3bandwidth_sma3nz_amean,prosody,surface_damping,45,0.0493623797227919,0.747444242250557,0.06670699663173152,0.9532622220007104
egemaps_MeanVoicedSegmentLengthSec,prosody,other,45,0.047978387767947266,0.7543017646413197,-0.07364370089453444,0.9550871264523184
egemaps_loudness_sma3_percentile20.0,prosody,other,45,0.046133065161487755,0.7634741904549444,-0.014239829802861988,0.9597961251433587
egemaps_F3frequency_sma3nz_amean,vowel,geometric_vocal_tract,47,-0.041296743714856345,0.7828475365072475,0.02792664096077091,0.968678364963158
egemaps_HNRdBACF_sma3nz_stddevNorm,vowel,other,47,0.04083403510180473,0.785222635667977,0.02436508563987179,0.968678364963158
egemaps_mfcc4V_sma3nz_amean,vowel,spectral_envelope_mfcc,47,-0.040255649335490216,0.7881942264418464,0.017145970588505234,0.968678364963158
egemaps_HNRdBACF_sma3nz_stddevNorm,prosody,other,45,0.0358519820683562,0.8151327027091985,0.07780909241282943,0.968678364963158
egemaps_F2frequency_sma3nz_stddevNorm,prosody,other,45,0.03440208573470944,0.8224861790252482,0.03354774857604219,0.968678364963158
